icao,airline,callsign
LCH,"Lynch Flying Service","LYNCH AIR"
LYC,"Lynden Air Cargo","LYNDEN"
LWG,"Luxwing","LUXWING"
DAT,"Lynx Air","DAUNTLESS"
LXF,"Lynx Air International","LYNX FLIGHT"
SSX,"Lynx Aviation","SHASTA"
LYX,"Lynx Aviation","LYNX AIR"
AZN,"Línea Aérea Amaszonas",""
LPR,"Líneas Aéreas Privadas Argentinas","LAPA"
LAU,"Líneas Aéreas Suramericanas","SURAMERICANO"
SNG,"LongJiang Airlines","SNOW EAGLE"
LYB,"Lynden Air Cargo","HIGHLANDS"
DQA,"Maldivian","ISLAND AVIATION"
MMH,"McMahon Helicopter","NIGHT RIDER"
HOG,"Mahogany Air Charters","HOGAN AIR"
MTS,"[https://www.jet-rescue.com/ Med Jets]","MED SERVICE"
MSF,"Minsheng International Jet","MEINSHENG"
MXS,"Millon Express","MILLON EXPRESS"
MHF,"Maritime Helicopters","AIR MARITIME"
MRK,"MarkAir","MARKAIR"
MWM,"Modern Transporte Aereo De Carga","MODERNAIR"
MSJ,"Magnum Air","MAGNUM AIR"
MWI,"Malawian Airlines 2014","MALAWIAN"
MYP,"Mann Yadanarpon Airlines","MANN ROYAL"
MAV,"Manta Air","SEA WING"
RDK,"Memorial Hermann Hospital System","RED DUKE"
MLV,"Multiservicios Aereos Del Valle","MULTI VALLE"
MMJ,"Macau Jet International","MACAUJET"
MXF,"Maximum Flight Advantages","MAXFLIGHT"
MXD,"Malindo Airways","MALINDO EXPRESS"
MJC,"Mandarin Air","AIR MANDA"
PLG,"MBK-S","PILGRIM"
DZR,"Midwest Aviation","DOZER"
MSN,"Milenium Air Servicios Aereos Integrados",""
MFB,"Mountain Flyers 80","MOUNTAINHELI"
HTL,"My Fair Jet","HOTLINE"
JNH,"M & N Aviation","JONAH"
MCF,"MAC Fotografica","MAC FOTO"
MRG,"MANAG'AIR","MANAG'AIR"
MPJ,"MAP-Management and Planung","MAPJET"
TFG,"MAS Airways","TRAFALGAR"
MAA,"MasAir","MAS CARGA"
MWG,"MASwings","MASWINGS"
MAK,"MAT Macedonian Airlines","MAKAVIO"
MCC,"MCC Aviation","DISCOVERY"
MGA,"MG Aviación","MAG AVACION"
JLA,"MIA Airlines","SALLINE"
MGL,"MIAT Mongolian Airlines","MONGOL AIR"
MNC,"MIT Airlines","MUNCIE"
MKA,"MK Airline","KRUGER-AIR"
MNB,"MNG Airlines","BLACK SEA"
EBF,"MSR Flug-Charter","SKYRUNNER"
MCV,"MTC Aviación","MTC AVIACION"
MAQ,"Mac Aviation","MAC AVIATION"
MCN,"Mac Dan Aviation Corporation","MAC DAN"
MTD,"MacKnight Airlines",""
MCK,"Macair Airlines",""
MCS,"Macedonian Airlines","MACAIR"
MDH,"Madina Air","MADINA AIR"
DAN,"Maersk Air","MAERSKAIR"
MSK,"Maersk Air UK","BLUESTAR"
MJB,"Magic Blue Airlines","MAGIC BLUE"
MGR,"Magna Air","MAGNA AIR"
MLH,"Mahalo Air","MAHALO"
IRM,"Mahan Air","MAHAN AIR"
MZS,"Mahfooz Aviation","MAHFOOZ"
MAT,"Maine Aviation","MAINE-AV"
MAJ,"Majestic Airlines","MAGIC AIR"
AKM,"Mak Air","MAKAIR"
MLG,"Malagasy Airlines",""
MLX,"Malawi Express","MALAWI EXPRESS"
MKK,"Malaya Aviatsia Dona","AEROKEY"
MAS,"Malaysia Airlines","MALAYSIAN"
MLT,"Maleth-Aero",""
MAE,"Mali Air","MALI AIREXPRESS"
VXP,"Mali Air Express","AVION EXPRESS"
MTZ,"Mali Airways","MALI AIRWAYS"
MLC,"Malila Airlift","MALILA"
MLS,"Mall Airways","MALL-AIRWAYS"
LOD,"Malmoe Air Taxi","LOGIC"
SCW,"Malmö Aviation","SCANWING"
MAY,"Malta Air",""
MAC,"Malta Air Charter","MALTA CHARTER"
MWS,"Malta Wings","MALTA WINGS"
MAH,"Malév Hungarian Airlines","MALEV"
MLB,"Manaf International Airways","MANAF"
MDL,"Mandala Airlines","MANDALA"
MDA,"Mandarin Airlines","MANDARIN"
MNO,"Mango","TULCA"
MHN,"Manhattan Air","MANHATTAN"
MTO,"Marathon Airlines","MARATHON"
MNR,"Mann Air","TEEMOL"
MAN,"Mannion Air Charter","MANNION"
MTS,"Mantrust Asahi Airways","MANTRUST"
MNX,"Manx Airlines","MANX"
MAD,"Maple Air Services","MAPLE AIR"
MAR,"March Helicopters","MARCH"
MCP,"Marcopolo Airways","MARCOPOLO"
MGI,"Marghi Air","MARGHI"
MRK,"Markair","MARKAIR"
MKO,"Markoss Aviation","GOSHAWK"
MRW,"Mars RK","AVIAMARS"
MCE,"Marshall Aerospace","MARSHALL"
MSL,"Marsland Aviation","MARSLANDAIR"
XMA,"Martin Aviation Services",""
MBE,"Martin-Baker","MARTIN"
MPH,"Martinair","MARTINAIR"
MRA,"Martinaire","MARTEX"
MFA,"Martyn Fiddler Associates","SEAHORSE"
MVN,"Marvin Limited","MARVIN"
TRP,"Maryland State Police","TROOPER"
MTH,"Massachusetts Institute of Technology","RESEARCH"
MSY,"Massey University School of Aviation","MASSEY"
MSW,"Master Airways","MASTER AIRWAYS"
MPL,"Master Planner",""
LMJ,"Masterjet","MASTERJET"
MIA,"Mauria","MAURIA"
MNV,"Mauritanienne Aerienne Et Navale","NAVALE"
MRF,"Mauritanienne Air Fret","MAUR-FRET"
MWY,"Mauritanienne Airways","MAURITANIENNE"
MDE,"Mauritanienne De Transport Aerien","MAURI-TRANS"
MVR,"Maverick Airways","MAV-AIR"
MVL,"Mavial Magadan Airlines","Mavial"
MAI,"Max Avia","MAX AVIA"
MSF,"Max Sea Food","MAXESA"
MAX,"Max-Aviation","MAX AVIATION"
MXL,"Maxair","MAXAIR"
MXU,"Maximus Air Cargo","CARGO MAX"
MXJ,"Maxjet Airways","MAX-JET"
MXS,"Maxsus-Avia","MAXSUS-AVIA"
MXP,"May Air Xpress","BEECHNUT"
MYD,"Maya Island Air","MYLAND"
MYI,"Mayair","MAYAIR"
MBS,"Mbach Air","MBACHI AIR"
MCH,"McAlpine Helicopters","MACLINE"
MKL,"McCall Aviation","MCCALL"
DAC,"McDonnell Douglas","DACO"
MDS,"McNeely Charter Services","MID-SOUTH"
MEK,"Med-Trans of Florida","MED-TRANS"
MDM,"Medavia","MEDAVIA"
MRZ,"Medical Air Rescue Services","MARS"
MCL,"Medical Aviation Services","MEDIC"
MDF,"Mediterranean Air Freight","MED-FREIGHT"
MDY,"Mediterranean Airways",""
MEJ,"Medjet International","MEDJET"
MGK,"Mega","MEGLA"
MEL,"Mega Linhas Aéreas","MEGA AIR"
MKN,"Mekong Airlines","MEKONG AIRLINES"
MNJ,"Menajet","MENAJET"
MXX,"Merchant Express Aviation","MERCHANT"
MEC,"Mercury Aircourier Service","MERCAIR"
POV,"Meridian","AIR POLTAVA"
MRD,"Meridian Air Cargo","MERIDIAN"
MHL,"Meridian Airlines","HASSIMAIR"
DSL,"Meridian Aviation","DIESEL"
